Eemail,passwd,birth_date,is_admin
ligula.consectetuer@google.edu,7p4yD4KJsU,1981-01-29,True
ullamcorper.magna@yahoo.org,uRq7PtNRYN,1985-07-10,False
aliquet.diam@protonmail.com,w601PVLCsg,1995-12-15,True
lobortis@hotmail.org,C4Qz072oko,1997-04-08,False
mauris.id.sapien@protonmail.com,WqdYl3iYrs,1997-09-22,True
mi@protonmail.org,1XuaCpkh0F,1999-03-31,False
non.sapien@yahoo.edu,cAAkU2EZOz,2004-01-14,False
quam.dignissim@yahoo.net,DW2in8eYYN,2010-02-16,False
felis.donec@icloud.org,fpaMV3QILU,2011-11-09,False
sed.id.risus@aol.ca,nkUovC45A5,2014-01-20,False
